name,yelp_id,categories,rating,address,latitude,longitude,price,review_count,is_closed,distance
Joon's Kitchen,4sJgeCWPtd9Hx1OcXXmX_w,"Korean, Japanese",4.0,"['3093 Oak Street', 'Vancouver, BC V6H 2K8', 'Canada']",49.25814006151812,-123.1271603431787,N/A,71,False,69.34889369026776
Tom Sushi,o5YLdmUogknjtDzUBv5Smw,"Sushi Bars, Japanese",4.7,"['1175 Davie St', 'Vancouver, BC V6E 1N2', 'Canada']",49.2815608,-123.1327476,$$,285,False,219.69697368713054
Kingyo,crM1idgY_glhtxXT5kERNg,"Japanese, Tapas/Small Plates",4.4,"['871 Denman Street', 'Vancouver, BC V6G 2L9', 'Canada']",49.29073911099211,-123.13705023185994,$$,1204,False,640.5595730601583
Phnom Penh,yeNenSjz_HCqngGFU5d8NQ,"Cambodian, Vietnamese",4.2,"['244 E Georgia Street', 'Vancouver, BC V6A 1Z7', 'Canada']",49.278431,-123.098205,$$,1775,False,696.1630797635031
Teahouse in Stanley Park,kK4imiJdmPKJBgQXoQ_VTg,Seafood,4.1,"['7501 Stanley Park Drive', 'Vancouver, BC V6G 1Z4', 'Canada']",49.3012529987012,-123.157079257071,$$$,461,False,181.46851060732067
Kishimoto Japanese Kitchen,I0r8kMimYW2BY6lINcZRFA,"Japanese, Sushi Bars",4.4,"['2054 Commercial Drive', 'Vancouver, BC V5N 4A9', 'Canada']",49.2665099,-123.06935,$$$,538,False,296.7557165682852
Saku,XAH2HpuUUtu7CUO26pbs4w,"Japanese, Noodles, Seafood",4.3,"['548 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",49.2631006,-123.11667523250104,$$,265,False,147.2713510393724
Maxine's Cafe & Bar,lQuQy5a4wk0WL7WpP2hwyQ,"Bars, Breakfast & Brunch, Cafes",4.3,"['1325 Burrard Street', 'Vancouver, BC V6Z 2B7', 'Canada']",49.27807,-123.13131,$$,118,False,60.3645801921501
The Farmhouse,WZz3gI0V6hN9M_cpeyo9Jg,"Italian, Wine Bars",4.3,"['352 East 10th Avenue', 'Vancouver, BC V5T 1Z7', 'Canada']",49.26185879464837,-123.09710762514682,N/A,28,False,16.37091896645807
Salmon n' Bannock,drhJnjLFI8wsbvOMaVFDSA,Canadian (New),4.5,"['1128 W Broadway', 'Unit 7', 'Vancouver, BC V6H 1G5', 'Canada']",49.2631378,-123.1296705,$$,236,False,278.5740079814738
Phnom Penh,yeNenSjz_HCqngGFU5d8NQ,"Cambodian, Vietnamese",4.2,"['244 E Georgia Street', 'Vancouver, BC V6A 1Z7', 'Canada']",49.278431,-123.098205,$$,1775,False,796.212378667594
The Flying Pig,NdEPf2Ls5Ql3_nkwjqKvXA,"Canadian (New), Seafood",4.0,"['1168 Hamilton Street', 'Unit 104', 'Vancouver, BC V6B 2S2', 'Canada']",49.27501,-123.122,$$,1369,False,572.0392848621037
Forage,t-soDjOlN6XkySHBdhRkKA,"Canadian (New), Breakfast & Brunch",4.1,"['1300 Robson Street', 'Vancouver, BC V6E 1C5', 'Canada']",49.28707,-123.12925,$$,736,False,146.99360039595916
Fable Kitchen,p5thThuUITUjAy8gS3sPMw,Canadian (New),4.3,"['1944 W 4th Avenue', 'Vancouver, BC V6J 1M5', 'Canada']",49.2679331,-123.149019,$$,791,False,365.0375169635776
Burgoo Bistros,KDpEDnHqRXTeBhNTmvBFiQ,"Comfort Food, Bistros",3.9,"['3096 Main Street', 'Vancouver, BC V5T 3G5', 'Canada']",49.25765498958033,-123.100815,$$,515,False,303.66818982114813
Landmark Hotpot House,EwnizZggD7z0lX5pny_kug,"Chinese, Hot Pot",3.9,"['4023 Cambie Street', 'Vancouver, BC V5Z 2X9', 'Canada']",49.2498660758194,-123.11556053834,$$$,126,False,86.76023382466451
